game_id,moves
20,1 50 44 57 47 27 29 56 55 18 45 49 56 35 36 32 31 59 60 41 57 42 21 17 32 34 50 16 15 3 5 8 7 19 20 25 16 10 27 47 37 26 12 37 27 44 27 9 17 21 30 7 6 42 18 40 39 30 16 17 16 12 21 32 47 21 23 16 17 11 13 17 9 27 12 47 30 13 6 30 45 36 45 15 6 2 10 39 38 45 38 31 38 29 30 38 37 20 21 56 38 18 34 49 41 12 22 33 61 34 37 38 45 37 41 9 41 23 41 57 56 22 28 45 31 21 22 61 37 41 37 0
21,1 35 37 24 22 19 20 8 7 27 29 16 15 29 22 15 22 26 30 33 24 50 44 25 16 30 28 17 23 10 27 57 47 42 35 40 39 34 50 49 40 42 34 41 57 59 60 32 30 37 30 39 30 35 42 49 41 51 52 9 33 42 51 22 21 28 19 40 22 34 41 33 41 27 42 47 37 18 36 23 38 44 38 24 38 51 37 30 37 36 22 38 22 42 36 48 46 19 5 22 14 5 21 14 21 36 21 16 30 21 36 30 39 60 61 57 48 2 26 48 47 26 31 7 6 31 7 0
22,1 50 44 57 47 51 52 16 15 42 51 25 16 34 50 40 39 19 21 24 22 27 28 49 40 35 37 41 57 10 20 32 31 11 12 17 23 18 11 23 29 44 34 33 24 43 45 8 7 34 19 16 23 19 36 15 14 52 53 47 32 53 54 48 46 54 47 32 47 20 35 29 35 26 35 9 41 2 34 40 33 35 19 47 62 45 46 33 54 51 60 54 36 34 36 39 38 36 44 14 13 11 18 7 6 60 53 62 47 44 52 6 5 19 51 57 65 53 26 41 9 50 58 5 12 26 12 23 5 42 50 49 48 18 54 47 57 52 60 5 12 3 12 57 47 51 52 64 63 52 61 47 64 46 47 64 54 47 56 48 56 61 63 54 64 63 47 24 40 50 56 40 56 47 31 9 2 0
23,1 50 44 32 30 27 29 40 39 19 21 57 47 10 20 49 13 26 5 17 23 35 36 41 57 18 27 49 41 3 4 13 31 5 19 8 7 21 22 31 49 11 13 39 38 29 38 23 38 44 29 47 53 59 60 53 47 42 35 24 23 34 50 38 55 2 34 25 32 29 46 33 24 35 28 41 38 43 45 38 41 51 53 9 33 27 18 32 25 18 11 25 46 28 46 30 29 20 26 47 30 46 55 64 55 11 29 55 54 29 38 41 38 45 38 24 38 19 59 38 37 59 51 37 38 51 44 30 47 26 43 33 27 34 26 27 3 26 28 56 55 28 33 57 56 33 28 49 40 50 51 47 37 51 50 37 47 42 26 7 6 26 27 3 2 27 26 2 3 26 27 3 2 27 26 2 3 0
24,1 50 44 32 30 51 52 57 47 42 51 25 53 19 21 53 44 51 44 24 23 26 12 33 32 21 30 23 30 10 20 40 39 34 50 17 23 44 51 49 22 27 28 41 57 35 37 23 29 12 26 64 63 37 30 39 30 18 45 49 41 3 4 8 6 2 18 9 25 59 61 16 14 42 34 14 13 4 13 6 13 34 41 25 41 20 30 47 30 18 22 30 45 52 45 29 35 50 59 35 45 26 44 45 28 22 30 32 24 44 52 24 52 59 52 28 11 30 32 11 21 51 30 21 38 32 16 41 33 16 14 56 54 61 54 63 54 43 45 54 45 52 45 38 55 45 37 57 56 14 16 33 41 37 29 41 40 16 40 55 40 30 37 56 65 29 21 65 56 21 13 56 47 13 21 47 38 37 28 40 30 21 12 30 36 0
25,1 50 44 32 30 51 52 24 22 42 51 17 23 34 50 57 47 19 21 40 39 11 12 49 40 18 11 30 29 35 36 39 38 36 29 38 29 42 34 41 57 27 28 64 63 10 4 25 46 4 19 8 6 3 4 40 31 2 10 9 25 11 18 16 15 59 60 33 24 52 53 46 64 34 35 25 41 35 41 49 41 44 34 23 38 18 45 38 21 12 21 31 45 34 44 56 54 19 34 47 32 51 42 57 56 44 27 32 38 27 44 38 55 42 51 55 38 44 38 41 38 34 44 38 39 10 12 24 40 12 10 48 46 4 5 46 53 60 53 64 55 51 42 63 62 44 59 45 59 50 59 40 31 59 50 62 61 26 44 39 47 44 16 56 63 10 34 31 45 16 51 63 56 34 40 55 48 40 37 61 60 51 52 45 52 43 52 60 59 0
26,1 27 29 57 47 19 21 24 22 29 30 56 55 10 20 49 56 35 37 32 31 59 60 41 57 18 36 40 39 42 28 39 30 37 30 49 41 50 44 41 36 43 36 33 40 34 50 17 32 26 27 47 62 51 53 62 52 42 43 32 38 50 51 38 44 43 44 56 20 27 20 52 37 28 37 40 37 20 47 37 19 51 58 25 46 53 46 0
27,1 50 44 57 47 51 52 56 55 42 51 49 56 34 50 41 57 27 29 32 30 19 21 30 21 10 4 21 20 11 20 24 22 4 21 17 23 44 38 25 39 38 23 16 23 21 38 47 30 26 19 9 25 42 26 22 29 20 29 23 22 19 5 30 20 0
28,1 50 44 57 47 51 52 56 55 42 51 49 56 34 50 41 57 19 21 32 31 10 20 17 23 2 10 8 6 27 29 40 38 29 30 23 40 44 27 47 32 27 37 64 63 21 22 48 46 22 31 46 37 31 40 33 40 20 37 32 47 26 12 57 64 18 36 47 53 0
29,1 27 29 32 30 19 21 40 39 50 44 8 7 18 54 49 40 54 40 33 40 26 19 57 47 10 27 41 57 51 52 17 32 42 51 16 15 34 50 25 16 21 30 47 30 35 37 30 13 19 24 9 17 44 38 49 33 38 32 40 32 24 32 33 32 27 12 13 19 2 26 17 33 29 30 39 30 37 30 56 55 26 27 19 13 3 4 16 30 51 30 13 30 42 26 57 49 50 51 7 6 51 44 48 46 12 29 30 24 29 39 24 39 27 32 33 32 26 32 49 41 32 16 15 14 44 36 0
